               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 111,             0.78697,             0.52149,              1.1678,             0.90244,             0.86154,              0.9242,             0.66718,              2.2598,              1.4115,               3.212,            0.000274,            0.000274,            0.000274
                 112,             0.79097,              0.5237,              1.1542,             0.90646,             0.85948,             0.92388,             0.65747,              2.2826,              1.4211,              3.2474,           0.0002674,           0.0002674,           0.0002674
                 113,             0.77982,             0.51648,              1.1599,             0.90605,             0.85097,             0.91977,             0.65475,              2.2929,              1.5021,              3.2441,           0.0002608,           0.0002608,           0.0002608
                 114,             0.78229,             0.52648,              1.1495,             0.89986,             0.86626,             0.92686,              0.6531,              2.2966,              1.4519,              3.2408,           0.0002542,           0.0002542,           0.0002542
                 115,             0.77032,             0.50572,              1.1498,             0.91458,             0.85948,             0.92793,             0.66191,              2.2797,              1.4499,              3.2436,           0.0002476,           0.0002476,           0.0002476
                 116,             0.77604,             0.51019,              1.1383,              0.9284,             0.84314,             0.92408,             0.65057,              2.3134,              1.4707,               3.304,            0.000241,            0.000241,            0.000241
                 117,             0.76882,             0.51469,              1.1327,             0.90583,             0.86446,             0.92745,             0.65814,              2.2756,               1.449,              3.2296,           0.0002344,           0.0002344,           0.0002344
                 118,             0.76822,             0.50644,              1.1293,             0.92122,             0.85784,             0.93396,             0.66484,              2.2887,              1.4099,              3.2468,           0.0002278,           0.0002278,           0.0002278
                 119,             0.76263,             0.50728,              1.1311,             0.91084,             0.85133,             0.92469,              0.6601,              2.2672,              1.4554,              3.2324,           0.0002212,           0.0002212,           0.0002212
                 120,             0.74833,             0.49474,              1.1312,             0.93055,               0.832,              0.9179,             0.65771,              2.2933,              1.4996,              3.2613,           0.0002146,           0.0002146,           0.0002146
                 121,             0.76497,             0.51075,              1.1262,             0.88179,             0.88072,               0.926,             0.66571,              2.2481,              1.4175,              3.2316,            0.000208,            0.000208,            0.000208
                 122,             0.74471,             0.49608,              1.1222,             0.88494,             0.86709,             0.91786,             0.65788,              2.2744,              1.5135,              3.2536,           0.0002014,           0.0002014,           0.0002014
                 123,             0.73414,             0.49037,              1.1243,             0.88725,             0.86601,             0.92481,             0.66177,              2.2684,              1.4793,              3.2407,           0.0001948,           0.0001948,           0.0001948
                 124,             0.74977,              0.4953,               1.127,             0.90812,             0.85599,             0.92228,             0.66387,              2.2544,              1.4534,              3.2407,           0.0001882,           0.0001882,           0.0001882
                 125,             0.74674,             0.49442,              1.1261,             0.89518,             0.85948,             0.92667,             0.66871,              2.2421,              1.4341,              3.2135,           0.0001816,           0.0001816,           0.0001816
                 126,             0.74234,             0.49616,              1.1215,             0.89798,             0.86298,             0.92305,             0.66622,               2.234,               1.485,              3.1859,            0.000175,            0.000175,            0.000175
                 127,             0.73549,             0.49153,              1.1232,             0.90086,             0.86111,              0.9249,             0.66913,              2.2459,              1.4456,              3.2227,           0.0001684,           0.0001684,           0.0001684
                 128,             0.72988,             0.48407,              1.1093,             0.87999,             0.86269,             0.92042,             0.65988,              2.2782,               1.518,              3.2416,           0.0001618,           0.0001618,           0.0001618
                 129,              0.7345,             0.48965,              1.1129,              0.8895,             0.85497,             0.91765,             0.65872,              2.2889,              1.4913,              3.2666,           0.0001552,           0.0001552,           0.0001552
                 130,             0.72366,             0.47894,              1.1112,             0.88835,             0.86438,             0.91864,             0.65922,              2.2845,              1.5111,              3.2651,           0.0001486,           0.0001486,           0.0001486
                 131,             0.71502,              0.4794,              1.1067,             0.88813,             0.85458,             0.92437,             0.66459,               2.263,              1.4671,              3.2546,            0.000142,            0.000142,            0.000142
                 101,             0.84515,              0.5615,              1.2067,             0.91049,             0.85458,             0.92148,             0.65482,              2.2645,              1.4817,              3.1867,             0.00034,             0.00034,             0.00034
                 102,             0.84883,             0.56585,              1.2089,             0.91109,             0.85458,             0.92604,             0.66319,              2.2627,              1.4363,              3.2154,           0.0003334,           0.0003334,           0.0003334
                 103,             0.82026,             0.54299,              1.1904,             0.90247,             0.85784,             0.92031,             0.66028,              2.2437,               1.472,              3.1433,           0.0003268,           0.0003268,           0.0003268
                 104,             0.83181,             0.55116,               1.195,             0.89392,             0.85367,              0.9209,             0.65273,              2.3087,              1.5356,               3.235,           0.0003202,           0.0003202,           0.0003202
                 105,             0.81066,             0.54497,              1.1752,             0.89332,             0.86203,             0.92418,             0.65493,              2.2881,              1.4452,              3.2248,           0.0003136,           0.0003136,           0.0003136
                 106,             0.81625,             0.54216,              1.1786,             0.91028,             0.84549,             0.92808,             0.66326,              2.3008,              1.4503,              3.2399,            0.000307,            0.000307,            0.000307
                 107,             0.83566,             0.55691,              1.1882,             0.90111,             0.86361,             0.93202,              0.6641,              2.2588,              1.4145,              3.2293,           0.0003004,           0.0003004,           0.0003004
                 108,             0.80745,             0.53642,              1.1765,             0.89595,             0.85621,             0.92008,             0.65777,              2.2954,              1.4939,              3.2457,           0.0002938,           0.0002938,           0.0002938
                 109,             0.81311,             0.54209,              1.1767,             0.92407,             0.83515,             0.92969,             0.66568,              2.2327,              1.4333,              3.1802,           0.0002872,           0.0002872,           0.0002872
                 110,              0.8072,             0.52774,              1.1667,             0.88376,             0.86928,             0.92686,             0.66421,              2.2791,              1.4421,              3.2227,           0.0002806,           0.0002806,           0.0002806
                 111,             0.79092,              0.5177,              1.1639,             0.89371,             0.86765,             0.92604,              0.6613,              2.2768,              1.4031,              3.2534,            0.000274,            0.000274,            0.000274
                 112,             0.79753,             0.52653,              1.1744,             0.89936,             0.84692,             0.92259,             0.66167,              2.2773,              1.4583,              3.2258,           0.0002674,           0.0002674,           0.0002674
                 113,             0.79954,             0.51774,              1.1661,             0.88096,             0.87063,             0.91965,              0.6593,              2.2917,              1.5171,              3.2487,           0.0002608,           0.0002608,           0.0002608
                 114,             0.77942,             0.51567,              1.1566,             0.92518,             0.84477,             0.92279,             0.65799,              2.2737,               1.473,              3.2512,           0.0002542,           0.0002542,           0.0002542
                 115,             0.78773,             0.52589,              1.1521,              0.8863,             0.85342,             0.91434,              0.6586,              2.2882,              1.5358,              3.2545,           0.0002476,           0.0002476,           0.0002476
                 116,             0.77097,             0.50466,              1.1513,             0.91373,             0.85294,             0.92291,             0.65811,              2.2884,              1.4953,              3.2594,            0.000241,            0.000241,            0.000241
                 117,             0.77675,             0.51052,               1.151,             0.92527,             0.82944,             0.92261,             0.66005,              2.2595,              1.4845,              3.2198,           0.0002344,           0.0002344,           0.0002344
                 118,              0.7719,             0.50908,              1.1394,             0.88651,              0.8679,             0.92395,             0.66129,                2.26,              1.4599,              3.2499,           0.0002278,           0.0002278,           0.0002278
                 119,             0.75431,             0.51127,              1.1404,             0.89059,             0.84804,             0.91631,             0.65439,              2.2726,              1.5481,              3.2326,           0.0002212,           0.0002212,           0.0002212
                 120,             0.75986,             0.49796,              1.1306,             0.91086,              0.8415,             0.92245,             0.66133,              2.2866,              1.4924,              3.2738,           0.0002146,           0.0002146,           0.0002146
                 121,             0.74083,             0.49652,              1.1266,             0.91623,              0.8415,              0.9222,             0.65993,              2.2677,              1.5042,              3.2289,            0.000208,            0.000208,            0.000208
                 122,              0.7466,             0.49507,              1.1257,             0.88033,             0.86543,             0.91892,             0.65588,              2.2813,              1.5341,              3.2322,           0.0002014,           0.0002014,           0.0002014
                 123,             0.74614,               0.498,               1.126,             0.89731,             0.84243,             0.91964,              0.6611,              2.2745,              1.4912,              3.2502,           0.0001948,           0.0001948,           0.0001948
                 124,             0.73903,             0.49425,              1.1215,             0.90896,             0.84833,             0.92221,             0.66034,              2.2799,              1.4677,                3.25,           0.0001882,           0.0001882,           0.0001882
                 125,             0.72739,             0.48794,              1.1162,              0.8861,             0.86275,             0.91247,             0.65404,              2.2967,              1.5288,               3.268,           0.0001816,           0.0001816,           0.0001816
                 126,             0.74255,             0.49191,              1.1226,              0.9119,             0.84569,             0.92349,             0.66477,              2.2669,              1.4578,              3.2416,            0.000175,            0.000175,            0.000175
                 127,              0.7277,             0.48866,              1.1072,             0.90826,             0.84121,             0.91965,             0.66175,              2.2707,              1.4737,              3.2435,           0.0001684,           0.0001684,           0.0001684
